Diamond	phi	nTrees	SeqLength	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d2	phi1	1000	1000	1	97.17441740513132	0.6752203847897736	0.6752203845212633	1	0	1	0.4644096535825163
d2	phi1	1000	1000	2	112.6256505178485	1.453799129376686	1.4537991293766477	1	0	1	0.42916790596177556
d2	phi1	1000	1000	3	85.66654925484188	0.6871226331818416	0.6871226331641336	1	0	1	0.46599017155345296
d2	phi1	1000	1000	4	95.64822406090542	0.7552830230577455	0.7552830230460795	1	0	1	0.48159079002973304
d2	phi1	1000	1000	5	105.92670155869276	1.8376750534984325	1.83767505343401	1	0	1	0.44246610342860365
d2	phi1	1000	1000	6	96.7920664244449	0.9859435753097452	0.9859435753029979	1	0	1	0.4545132770478556
d2	phi1	1000	1000	7	102.13211556491788	0.4441004616735111	0.4441004616336941	1	0	1	0.48413749386995664
d2	phi1	1000	1000	8	99.25672711560962	0.937931214269681	0.9379312142691323	1	0	1	0.4285282846045249
d2	phi1	1000	1000	9	94.06078082595201	1.4258546904044271	1.425854690403229	1	0	1	0.4951944776312617
d2	phi1	1000	1000	10	93.82902748131144	0.7502659359651214	0.75026593596093	1	0	1	0.4659834148126727
d2	phi1	1000	1000	11	106.03496047318421	0.6327304727410543	0.6327304727376423	1	0	1	0.4807270239071
d2	phi1	1000	1000	12	114.38142383939936	1.0958685120433174	1.0958685120398457	1	0	1	0.47976433530961893
d2	phi1	1000	1000	13	115.46824565550907	1.1213364514639745	1.1213364511184727	1	0	1	0.4829940659479227
d2	phi1	1000	1000	14	103.73360226449073	1.3153253890362138	1.3153253890131398	1	0	1	0.4850716712552678
d2	phi1	1000	1000	15	91.9410472368929	1.378830316757928	1.378830316060767	1	0	1	0.4952462899265624
d2	phi1	1000	1000	16	99.30488908531208	1.310030058146606	1.310030058092802	1	0	1	0.4483067087588701
d2	phi1	1000	1000	17	94.67036272663772	0.872368416229715	0.8723684162273941	1	0	1	0.4588723435628219
d2	phi1	1000	1000	18	103.14522550171695	0.9593421502998463	0.9593421502997372	1	0	1	0.4122267765521894
d2	phi1	1000	1000	19	97.46041587721943	0.7148422540216508	0.7148422540098724	1	0	1	0.49644872814500307
d2	phi1	4000	1000	0	97.94095978114566	0.2582663992569122	0.2582663984829818	1	0	1	0.4704942136423545
d2	phi1	4000	1000	1	102.62826206130669	0.22789330403450458	0.22789292222689586	1	0	1	0.4540599003788305
d2	phi1	4000	1000	2	91.57651329748674	0.4360677966854243	0.4360677966763923	1	0	1	0.48418024273356797
d2	phi1	4000	1000	3	95.88463333996866	0.07894649537806867	0.07894649537361596	1	0	1	0.4755247206138709
d2	phi1	4000	1000	4	89.98001351851254	0.5725777948341707	0.5725777948277633	1	0	1	0.4834882511458549
d2	phi1	4000	1000	5	95.3108831846464	0.3732689526990923	0.3732689526655998	1	0	1	0.4811497622228618
d2	phi1	4000	1000	6	101.31592199961194	0.5417314460701442	0.5417314460030118	1	0	1	0.49235564662894604
d2	phi1	4000	1000	7	92.93409654673809	0.2595729397303089	0.25957293947810633	1	0	1	0.4777568436652648
d2	phi1	4000	1000	8	94.0191649601869	0.3292149373872838	0.3292149361299033	1	0	1	0.4974131416909616
d2	phi1	4000	1000	9	88.65303023451507	0.26965179003988426	0.2696517900307199	1	0	1	0.489040421901762
d2	phi1	4000	1000	10	97.6714103090965	0.2957846699587462	0.29578466995032016	1	0	1	0.4378986046928949
d2	phi1	4000	1000	11	94.41255396355167	0.2376017671991793	0.23760176719803466	1	0	1	0.4802131119011484
d2	phi1	4000	1000	12	91.04480970908881	0.13267449857212965	0.13267449856706864	1	0	1	0.49774971462167894
d2	phi1	4000	1000	13	98.99248243718021	0.4010396583873524	0.4010396583688258	1	0	1	0.4764573856691483
d2	phi1	4000	1000	14	98.19975276141128	0.29751033276504524	0.29751033276504524	1	0	1	0.485956113086728
d2	phi1	4000	1000	15	91.03628124350776	0.5071017994445128	0.5071017994324312	1	0	1	0.499282528052602
d2	phi1	4000	1000	16	104.40670324966158	0.32750617742831734	0.32750617741491383	1	0	1	0.49507948181147654
d2	phi1	4000	1000	17	87.62046762729211	0.2088591573123581	0.2088591573107902	1	0	1	0.4724359555516592
d2	phi1	4000	1000	18	113.0220128935869	0.4570022538219934	0.4570022528630121	1	0	1	0.4811990523822118
d2	phi1	4000	1000	19	98.15888251336396	0.20859300204661677	0.20859300204366518	1	0	1	0.47913831508903065
d2	phi2	250	1000	0	68.60436890594613	2.6933575645373407	2.6933575645358947	1	0	1	0.3400284467437574
d2	phi2	250	1000	1	72.34676528271527	2.050682766792308	2.0506827667671934	1	0	1	0.27411912868867916
d2	phi2	250	1000	2	63.89359090857717	2.9674345622985587	2.967434562298113	1	0	1	0.3388225158392951
d2	phi2	250	1000	3	36.04395278565395	3.9384415731715765	3.9384415731604827	1	0	1	0.330675481821098
d2	phi2	250	1000	4	18.59984324894072	4.334240065307204	4.33424006530676	1	0	1	0.13226316889612977
d2	phi2	250	1000	5	43.157457183823055	7.502036760052481	7.502036724016876	1	4	0	None
d2	phi2	250	1000	6	82.34790949579472	14.651422795848974	14.651422795847266	1	0	1	0.3036975240805015
d2	phi2	250	1000	7	66.18807065657013	6.588632221769148	6.588632221725861	1	0	1	0.2836541644293391
d2	phi2	250	1000	8	44.78403407222259	3.4146365120463322	3.414636512008713	1	0	1	0.20912314303389687
d2	phi2	250	1000	9	55.87465291856784	8.123958949594362	8.123958949590877	1	0	1	0.2391776406630406
d2	phi2	250	1000	10	52.26273587542948	7.8381294764417	7.838129476207938	1	0	1	0.21085603242711717
d2	phi2	250	1000	11	30.2863294886947	3.341774048621925	3.341774048621925	1	0	1	0.20639879058906446
d2	phi2	250	1000	12	41.2259852629612	6.637293605020246	6.637293604931542	1	0	1	0.18976604535244815
d2	phi2	250	1000	13	41.94449469460857	8.953248557517902	8.953248557516764	1	4	0	None
